hour,start_cell,end,hourly_demand
12.0,3,122,0.0288461538461538
12.0,3,124,0.0096153846153846
12.0,3,129,0.1057692307692307
12.0,3,132,0.0576923076923076
12.0,3,146,0.0096153846153846
12.0,3,148,0.0096153846153846
12.0,3,150,0.0096153846153846
12.0,3,152,0.0096153846153846
12.0,3,162,0.0096153846153846
12.0,3,167,0.0096153846153846
12.0,3,169,0.0096153846153846
12.0,3,174,0.0288461538461538
12.0,3,198,0.1153846153846153
12.0,3,216,0.0576923076923076
12.0,3,218,0.0288461538461538
12.0,3,220,0.0096153846153846
12.0,3,238,0.0096153846153846
12.0,3,270,0.0096153846153846
12.0,3,285,0.0384615384615384
12.0,4,0,0.0096153846153846
12.0,4,49,0.0384615384615384
12.0,4,82,0.0096153846153846
12.0,4,108,0.1346153846153846
12.0,4,146,0.0096153846153846
12.0,4,148,0.0096153846153846
12.0,4,150,0.0096153846153846
12.0,4,152,0.0192307692307692
12.0,4,153,0.0384615384615384
12.0,4,155,0.0192307692307692
12.0,4,162,0.0192307692307692
12.0,4,174,0.0096153846153846
12.0,4,198,0.0096153846153846
12.0,4,209,0.0288461538461538
12.0,4,219,0.0865384615384615
12.0,4,220,0.0288461538461538
12.0,4,270,0.0096153846153846
12.0,4,277,0.0096153846153846
12.0,5,14,0.0192307692307692
12.0,5,18,0.0096153846153846
12.0,5,28,0.0576923076923076
12.0,5,71,0.0096153846153846
12.0,5,90,0.0192307692307692
12.0,5,115,0.0096153846153846
12.0,5,129,0.0096153846153846
12.0,5,146,0.0096153846153846
12.0,5,153,0.0192307692307692
12.0,5,165,0.0288461538461538
12.0,5,174,0.0096153846153846
12.0,5,191,0.0096153846153846
12.0,5,264,0.0192307692307692
12.0,5,270,0.0096153846153846
12.0,6,0,0.0192307692307692
12.0,6,1,0.0288461538461538
12.0,6,3,0.0576923076923076
12.0,6,11,0.0096153846153846
12.0,6,12,0.0192307692307692
12.0,6,18,0.0096153846153846
12.0,6,28,0.0096153846153846
12.0,6,49,0.0096153846153846
12.0,6,52,0.0096153846153846
12.0,6,55,0.0096153846153846
12.0,6,70,0.0961538461538461
12.0,6,82,0.0192307692307692
12.0,6,90,0.0384615384615384
12.0,6,122,0.0865384615384615
12.0,6,124,0.0096153846153846
12.0,6,129,0.0769230769230769
12.0,6,132,0.0384615384615384
12.0,6,146,0.0192307692307692
12.0,6,147,0.0192307692307692
12.0,6,152,0.0096153846153846
12.0,6,153,0.0192307692307692
12.0,6,155,0.0096153846153846
12.0,6,165,0.0192307692307692
12.0,6,167,0.0384615384615384
12.0,6,169,0.0576923076923076
12.0,6,174,0.3173076923076923
12.0,6,198,0.048076923076923
12.0,6,209,0.0096153846153846
12.0,6,216,0.0288461538461538
12.0,6,218,0.0384615384615384
12.0,6,219,0.0096153846153846
12.0,6,277,0.0096153846153846
12.0,6,285,0.1057692307692307
12.0,7,0,0.0192307692307692
