hour,start_cell,end_cell,mean,std,scv,scv_real,n,lambda,mu1,mu2,phi1
7,2,9,0.2941666666666667,0.2459160250126548,0.2403204646343371,0.698854461199075,5,16.997167138810198,4.169442593832748,18.40723870981602,0.0
7,3,1,0.1556196581196581,0.072166088794196,0.3331670482874117,0.2150489978063396,4,25.7036935328848,32.129616916106,32.129616916106,0.0
7,3,3,0.1502450980392157,0.4047150332887755,4.0751733717527925,7.256012973928129,2,13.3115823817292,13.3115823817292,0.9172793950038112,0.93109163368415
7,3,4,0.2175,0.1008620922471676,0.2076896182876405,0.2150489978063395,5,22.988505747126435,22.988505747126435,22.988505747126435,0.0
7,3,6,0.1197685185185185,0.0555407051177996,0.9187584880181076,0.2150489978063396,2,16.6988790104368,41.747197526092,41.747197526092,0.0
7,3,7,0.29,0.1344827896628901,0.2573852438156823,0.2150489978063395,4,13.793103448275865,17.24137931034483,17.24137931034483,0.0
7,4,0,0.297719298245614,0.1540998514691036,0.231472211199608,0.2679109515939306,5,16.794342958161465,13.43547436652917,13.43547436652917,0.0
7,4,1,0.4247222222222222,0.1969580319871255,0.172163132374032,0.2150489978063396,6,14.126880313930672,11.772400261608894,11.772400261608894,0.0
7,4,2,0.6936111111111111,0.3216508867703417,0.2150489978063396,0.2150489978063396,5,7.208650380456548,7.208650380456548,7.208650380456548,0.0
7,4,3,0.2857407407407407,0.132507627362605,0.7799844739627454,0.2150489978063396,2,6.999351911860013,17.498379779650033,17.498379779650033,0.0
7,4,4,0.1053914141414141,0.30933857843368,2.701760482275641,8.61504810797246,2,18.976877920210853,18.976877920210853,1.101379683686818,0.9419620188148116
7,4,6,0.3503819444444445,0.1624839356427472,0.2068672679524688,0.2150489978063396,5,14.27014171043504,14.27014171043504,14.27014171043504,0.0
7,4,7,1.2033333333333334,0.5580262881414179,0.2150489978063395,0.2150489978063396,5,4.1551246537396125,4.1551246537396125,4.1551246537396125,0.0
7,5,0,0.2831944444444444,0.1294398246672041,0.2029064561482075,0.2089134366368804,5,17.65571358509073,17.65571358509073,17.65571358509073,0.0
7,5,1,0.19125,0.0886890811138887,0.2988804921725413,0.2150489978063396,4,20.91503267973856,26.1437908496732,26.1437908496732,0.0
7,5,5,0.324074074074074,0.460345526876526,1.2629670274154805,2.017805387755102,2,6.171428571428572,6.171428571428572,1.5292427626765732,0.7522060338255553
7,5,6,0.2305555555555555,0.1069163940806502,0.31649356629409,0.2150489978063396,4,17.34939759036145,21.686746987951807,21.686746987951807,0.0
7,5,9,0.2144444444444444,0.2008972927199921,0.6580724654791895,0.8776443662917126,2,9.326424870466322,4.989865254565399,71.23404522512527,0.0
7,6,1,0.0954239766081871,0.0316594057656097,0.6260199631319178,0.1100754567444381,2,20.95909299831469,104.79546499157344,104.79546499157344,0.0
7,6,3,0.1117307692307692,0.0250396172324797,1.348636262121371,0.0502238260292853,2,17.900172117039585,179.00172117039585,179.00172117039585,0.0
7,6,4,0.9804166666666668,0.9316131842132764,0.2369365579727277,0.9029212646224428,5,5.09987250318742,1.074965815984527,19.93837962306792,0.0
7,6,6,0.9783333333333332,1.504204703530559,1.9114994586996976,2.3639603227349086,2,2.044293015332198,2.044293015332198,0.4323873365537536,0.7884905278691222
7,6,7,0.27625,0.1281064504978393,0.217067465200602,0.2150489978063396,5,18.099547511312217,18.099547511312217,18.099547511312217,0.0
7,7,0,0.1498737373737373,0.1106197377997844,0.4028021086213734,0.5447712435729346,3,20.01684919966301,10.271083102109518,19.04289573755256,0.0
7,7,1,0.1532539682539682,0.0710690385437988,2.1271417386442053,0.2150489978063396,2,13.050233039875712,32.62558259968928,32.62558259968928,0.0
7,7,3,0.1770679012345679,0.082112363164751,0.278434913744799,0.2150489978063396,4,22.59020393934112,28.2377549241764,28.2377549241764,0.0
7,7,4,0.223800505050505,0.1037838491281229,0.2403199068699376,0.2150489978063396,5,22.341325811001408,22.341325811001408,22.341325811001408,0.0
7,7,6,0.2097222222222222,0.076716636962469,0.1777020477770836,0.1338105053871905,6,28.60927152317881,38.14569536423841,38.14569536423841,0.0
7,7,7,0.0816145833333333,0.128352219980689,2.2586537079414586,2.473268314678152,2,24.50542437779196,24.50542437779196,4.954056992595416,0.7978383513698694
7,7,9,0.1840555555555555,0.0853527743588419,0.1848274816589306,0.2150489978063396,6,32.59885300332025,27.16571083610021,27.16571083610021,0.0
7,8,0,0.4156944444444445,0.1927715466767386,0.2150489978063396,0.2150489978063396,5,12.028065486134311,12.028065486134311,12.028065486134311,0.0
7,8,1,0.2147474747474747,0.0630978143447471,0.1938548404768453,0.0863321388684114,6,27.939793038570087,55.879586077140175,55.879586077140175,0.0
7,8,3,0.2216944444444444,0.1028071977298397,0.1552518049649766,0.2150489978063396,7,31.574990602681364,22.55356471620097,22.55356471620097,0.0
7,8,4,0.5377777777777778,0.2493857095664323,0.2150489978063396,0.2150489978063396,5,9.297520661157025,9.297520661157025,9.297520661157025,0.0
7,8,6,0.1855853174603174,0.0463065630150596,0.4199033862357501,0.0622583873753951,3,16.165071898219917,91.60207408991288,91.60207408991288,0.0
7,8,7,0.3993055555555556,0.1851714656517285,0.2067007977006093,0.2150489978063396,5,12.52173913043478,12.52173913043478,12.52173913043478,0.0
7,8,8,0.2637820512820512,0.5657280322850698,1.66371160355924,4.599651368067043,2,7.582017010935603,7.582017010935603,0.8241947491470282,0.8912961092070506
7,9,0,0.2312626262626263,0.059981911321217,0.1781705755435594,0.0672712804703298,6,25.94452937322559,64.86132343306397,64.86132343306397,0.0
7,9,1,0.1725,0.0398666759568922,1.8349900792998703,0.053412370572631,2,11.594202898550726,110.14492753623188,110.14492753623188,0.0
7,9,2,0.2297222222222222,0.1065299492827683,0.1703326105681424,0.2150489978063396,6,26.11850060459492,21.76541717049577,21.76541717049577,0.0
7,9,3,0.2720601851851851,0.126163491930711,0.2289103017575295,0.2150489978063396,5,18.37828639496299,18.37828639496299,18.37828639496299,0.0
7,9,4,0.3449074074074074,0.1599452080122177,0.2150489978063396,0.2150489978063396,5,14.496644295302012,14.496644295302012,14.496644295302012,0.0
7,9,5,0.1672222222222222,0.0840671395410673,0.2249589268502321,0.2527345172790587,5,29.900332225913623,23.920265780730897,23.920265780730897,0.0
7,9,6,0.2279807692307692,0.0543917294509796,0.2662650149029635,0.0569205786647408,4,17.54533951919021,78.95402783635596,78.95402783635596,0.0
7,9,7,0.1460555555555555,0.041204567198609,0.2652893971301127,0.0795892755425231,4,27.386839102320277,89.0072270825409,89.0072270825409,0.0
7,9,8,0.2557638888888889,0.1186063492165767,0.1898404792777125,0.2150489978063396,6,23.45913657344556,19.5492804778713,19.5492804778713,0.0
7,9,9,0.0959788359788359,0.1795178431554086,2.0045381063900973,3.498358289425381,2,20.83792723263506,20.83792723263506,2.978243723008968,0.8570758171021622
