,name,start_station_id,longitude,latitude,cell,capacity
277,VALKYRIEPLASSEN,459,10.7184199999995,59.9281319000043,28,12
278,VATERLANDSPARKEN,495,10.7573344426917,59.9135211256549,5,40
279,VATERLANDSPARKEN II,491,10.7573197999997,59.9136457999994,5,18
280,VESTKANTTORVET,436,10.713069099998,59.9244031000209,35,15
281,VIA VIKA,2329,10.7271708270872,59.9127128601449,0,15
282,VIPPETANGEN VEST,452,10.7406269999985,59.9039890000116,4,30
283,VIPPETANGEN ØST,441,10.741076999999,59.9039890000096,4,15
284,VOLVAT,524,10.7039868306922,59.9330900261859,19,21
285,VULKAN,442,10.7510100000061,59.9225099999586,34,17
286,VÅLERENGA,461,10.786856000002,59.9085760000087,24,21
287,VÅR FRELSERS GRAVLUND,384,10.7437646218726,59.9194404398474,42,18
288,VÅR FRELSERS GRAVLUND SØR,384,10.7438289999964,59.9194629999557,42,18
289,ØKERN PORTAL,2306,10.801890966655,59.930933959514,26,18
290,ØKERNVEIEN,605,10.7799159999995,59.916737599997,31,24
